=========================================
RUN METADATA
=========================================
--- MongoDB ---
id   pipeline_name   run_id                    query_name   execution_time   batch_size   total_records   num_batches   avg_batch_size       malformed_count   executed_at             
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4    MongoDB         mongodb-20260428-151122   query1       0.887            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:53.0   
5    MongoDB         mongodb-20260428-151122   query2       2.405            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:56.0   
6    MongoDB         mongodb-20260428-151122   query3       1.04             50000        3461613         70            49451.614285714284   1                 2026-04-28 15:11:57.0   

--- MapReduce ---
id   pipeline_name   run_id                      query_name   execution_time   batch_size   total_records   num_batches   avg_batch_size       malformed_count   executed_at             
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1    MapReduce       mapreduce-20260428-151021   query1       5.655            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:43.0   
2    MapReduce       mapreduce-20260428-151021   query2       5.266            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:49.0   
3    MapReduce       mapreduce-20260428-151021   query3       5.235            50000        3461613         70            49451.614285714284   1                 2026-04-28 15:10:54.0   

--- ApachePig ---
N/A

--- ApacheHive ---
N/A


=========================================
QUERY 1 RESULTS (Daily Traffic Summary)
=========================================
--- MongoDB ---
id    pipeline_name   run_id                    execution_time   log_date     status_code   request_count   total_bytes   
358   MongoDB         mongodb-20260428-151122   0.887            1995-07-13   304           14803           0             
359   MongoDB         mongodb-20260428-151122   0.887            1995-07-13   404           532             0             
360   MongoDB         mongodb-20260428-151122   0.887            1995-07-13   501           2               0             
361   MongoDB         mongodb-20260428-151122   0.887            1995-07-14   200           75346           1922340386    
362   MongoDB         mongodb-20260428-151122   0.887            1995-07-14   302           2164            171771        
363   MongoDB         mongodb-20260428-151122   0.887            1995-07-14   304           6177            0             
364   MongoDB         mongodb-20260428-151122   0.887            1995-07-14   403           3               0             
365   MongoDB         mongodb-20260428-151122   0.887            1995-07-14   404           413             0             
366   MongoDB         mongodb-20260428-151122   0.887            1995-07-15   200           41168           975984765     
367   MongoDB         mongodb-20260428-151122   0.887            1995-07-15   302           1208            95349         
368   MongoDB         mongodb-20260428-151122   0.887            1995-07-15   304           2902            0             
369   MongoDB         mongodb-20260428-151122   0.887            1995-07-15   404           254             0             
370   MongoDB         mongodb-20260428-151122   0.887            1995-07-16   200           43738           1040858024    
371   MongoDB         mongodb-20260428-151122   0.887            1995-07-16   302           1130            88403         
372   MongoDB         mongodb-20260428-151122   0.887            1995-07-16   304           2729            0             
373   MongoDB         mongodb-20260428-151122   0.887            1995-07-16   404           257             0             
374   MongoDB         mongodb-20260428-151122   0.887            1995-07-17   200           67745           1432729060    
375   MongoDB         mongodb-20260428-151122   0.887            1995-07-17   302           1543            111572        
376   MongoDB         mongodb-20260428-151122   0.887            1995-07-17   304           5285            0             
377   MongoDB         mongodb-20260428-151122   0.887            1995-07-17   403           1               0             
378   MongoDB         mongodb-20260428-151122   0.887            1995-07-17   404           406             0             
379   MongoDB         mongodb-20260428-151122   0.887            1995-07-17   501           1               0             
380   MongoDB         mongodb-20260428-151122   0.887            1995-07-18   200           58045           1177627667    
381   MongoDB         mongodb-20260428-151122   0.887            1995-07-18   302           1076            79134         
382   MongoDB         mongodb-20260428-151122   0.887            1995-07-18   304           4677            0             
383   MongoDB         mongodb-20260428-151122   0.887            1995-07-18   403           9               0             
384   MongoDB         mongodb-20260428-151122   0.887            1995-07-18   404           465             0             
385   MongoDB         mongodb-20260428-151122   0.887            1995-07-18   500           8               0             
386   MongoDB         mongodb-20260428-151122   0.887            1995-07-18   501           2               0             
387   MongoDB         mongodb-20260428-151122   0.887            1995-07-19   200           65468           1359819681    
388   MongoDB         mongodb-20260428-151122   0.887            1995-07-19   302           1294            100564        
389   MongoDB         mongodb-20260428-151122   0.887            1995-07-19   304           5335            0             
390   MongoDB         mongodb-20260428-151122   0.887            1995-07-19   403           2               0             
391   MongoDB         mongodb-20260428-151122   0.887            1995-07-19   404           639             0             
392   MongoDB         mongodb-20260428-151122   0.887            1995-07-20   200           60156           1205778900    
393   MongoDB         mongodb-20260428-151122   0.887            1995-07-20   302           1151            87783         
394   MongoDB         mongodb-20260428-151122   0.887            1995-07-20   304           4855            0             
395   MongoDB         mongodb-20260428-151122   0.887            1995-07-20   400           3               0             
396   MongoDB         mongodb-20260428-151122   0.887            1995-07-20   404           428             0             
397   MongoDB         mongodb-20260428-151122   0.887            1995-07-21   200           58339           1131210914    
398   MongoDB         mongodb-20260428-151122   0.887            1995-07-21   302           1287            99827         
399   MongoDB         mongodb-20260428-151122   0.887            1995-07-21   304           4669            0             
400   MongoDB         mongodb-20260428-151122   0.887            1995-07-21   404           334             0             
401   MongoDB         mongodb-20260428-151122   0.887            1995-07-22   200           31903           666791837     
402   MongoDB         mongodb-20260428-151122   0.887            1995-07-22   302           721             57718         
403   MongoDB         mongodb-20260428-151122   0.887            1995-07-22   304           2449            0             
404   MongoDB         mongodb-20260428-151122   0.887            1995-07-22   403           2               0             
405   MongoDB         mongodb-20260428-151122   0.887            1995-07-22   404           192             0             
406   MongoDB         mongodb-20260428-151122   0.887            1995-07-23   200           36125           766141576     
407   MongoDB         mongodb-20260428-151122   0.887            1995-07-23   302           625             50038         
408   MongoDB         mongodb-20260428-151122   0.887            1995-07-23   304           2216            0             
409   MongoDB         mongodb-20260428-151122   0.887            1995-07-23   404           233             0             
410   MongoDB         mongodb-20260428-151122   0.887            1995-07-24   200           58259           1213083889    
411   MongoDB         mongodb-20260428-151122   0.887            1995-07-24   302           882             59666         
412   MongoDB         mongodb-20260428-151122   0.887            1995-07-24   304           4783            0             
413   MongoDB         mongodb-20260428-151122   0.887            1995-07-24   400           1               0             
414   MongoDB         mongodb-20260428-151122   0.887            1995-07-24   403           1               0             
415   MongoDB         mongodb-20260428-151122   0.887            1995-07-24   404           328             0             
416   MongoDB         mongodb-20260428-151122   0.887            1995-07-24   501           5               0             
417   MongoDB         mongodb-20260428-151122   0.887            1995-07-25   200           57102           1148463038    
418   MongoDB         mongodb-20260428-151122   0.887            1995-07-25   302           855             57519         
419   MongoDB         mongodb-20260428-151122   0.887            1995-07-25   304           4274            0             
420   MongoDB         mongodb-20260428-151122   0.887            1995-07-25   403           7               0             
421   MongoDB         mongodb-20260428-151122   0.887            1995-07-25   404           461             0             
422   MongoDB         mongodb-20260428-151122   0.887            1995-07-26   200           53485           1041310069    
423   MongoDB         mongodb-20260428-151122   0.887            1995-07-26   302           766             57165         
424   MongoDB         mongodb-20260428-151122   0.887            1995-07-26   304           4258            0             
425   MongoDB         mongodb-20260428-151122   0.887            1995-07-26   403           3               0             
426   MongoDB         mongodb-20260428-151122   0.887            1995-07-26   404           336             0             
427   MongoDB         mongodb-20260428-151122   0.887            1995-07-26   501           1               0             
428   MongoDB         mongodb-20260428-151122   0.887            1995-07-27   200           56107           1124786923    
429   MongoDB         mongodb-20260428-151122   0.887            1995-07-27   302           812             62094         
430   MongoDB         mongodb-20260428-151122   0.887            1995-07-27   304           4420            0             
431   MongoDB         mongodb-20260428-151122   0.887            1995-07-27   403           4               0             
432   MongoDB         mongodb-20260428-151122   0.887            1995-07-27   404           336             0             
433   MongoDB         mongodb-20260428-151122   0.887            1995-07-27   501           1               0             
434   MongoDB         mongodb-20260428-151122   0.887            1995-07-28   200           24809           489159570     
435   MongoDB         mongodb-20260428-151122   0.887            1995-07-28   302           347             28166         
436   MongoDB         mongodb-20260428-151122   0.887            1995-07-28   304           1871            0             
437   MongoDB         mongodb-20260428-151122   0.887            1995-07-28   404           94              0             
438   MongoDB         mongodb-20260428-151122   0.887            1995-08-01   200           30745           529291863     
439   MongoDB         mongodb-20260428-151122   0.887            1995-08-01   302           399             29856         
440   MongoDB         mongodb-20260428-151122   0.887            1995-08-01   304           2608            0             
441   MongoDB         mongodb-20260428-151122   0.887            1995-08-01   403           1               0             
442   MongoDB         mongodb-20260428-151122   0.887            1995-08-01   404           243             0             
